Brand,Date,Product,Category,City,Price,Quantity,DeliveryTime(min),PaymentMode,Rating,TotalAmount,DeliverySpeed,OrderMonth,OrderWeekday,OrderDay,IsWeekend,RatingCategory
Blinkit,2024-04-01,Biscuits,Bakery,Hyderabad,127,3,18,Card,3.0,381,Medium,April,Monday,1,False,Medium
Blinkit,2024-04-02,Atta,Grains,Bangalore,142,3,12,Upi,1.0,426,Fast,April,Tuesday,2,False,Low
Zepto,2024-04-03,Paneer,Dairy,Chennai,170,5,9,Upi,3.0,850,Fast,April,Wednesday,3,False,Medium
Blinkit,2024-04-04,Milk,Dairy,Mumbai,249,3,16,Upi,2.0,747,Medium,April,Thursday,4,False,Low
Zepto,2024-04-05,Biscuits,Bakery,Delhi,161,4,12,Upi,2.0,644,Fast,April,Friday,5,False,Low
Zepto,2024-04-06,Juice,Beverages,Hyderabad,124,1,18,Upi,5.0,124,Medium,April,Saturday,6,True,High
Blinkit,2024-04-07,Rice,Grains,Hyderabad,64,4,20,Card,3.0,256,Medium,April,Sunday,7,True,Medium
Zepto,2024-04-08,Atta,Grains,Chennai,163,3,10,Card,3.0,489,Fast,April,Monday,8,False,Medium
Zepto,2024-04-09,Eggs,Poultry,Mumbai,154,2,10,Card,3.0,308,Fast,April,Tuesday,9,False,Medium
Blinkit,2024-04-10,Bread,Bakery,Mumbai,166,2,10,Cod,3.0,332,Fast,April,Wednesday,10,False,Medium
Blinkit,2024-04-11,Rice,Grains,Mumbai,76,3,14,Card,3.0,228,Fast,April,Thursday,11,False,Medium
Zepto,2024-04-12,Rice,Grains,Mumbai,240,1,16,Upi,2.0,240,Medium,April,Friday,12,False,Low
Zepto,2024-04-13,Milk,Dairy,Hyderabad,195,5,12,Cod,3.0,975,Fast,April,Saturday,13,True,Medium
Blinkit,2024-04-14,Milk,Dairy,Bangalore,178,3,10,Cod,3.0,534,Fast,April,Sunday,14,True,Medium
Zepto,2024-04-15,Milk,Dairy,Mumbai,51,2,20,Card,3.0,102,Medium,April,Monday,15,False,Medium
Blinkit,2024-04-16,Milk,Dairy,Chennai,153,4,10,Cod,3.0,612,Fast,April,Tuesday,16,False,Medium
Zepto,2024-04-17,Snacks,Snacks,Bangalore,190,1,16,Upi,3.0,190,Medium,April,Wednesday,17,False,Medium
Blinkit,2024-04-18,Bread,Bakery,Hyderabad,234,4,21,Cod,3.0,936,Slow,April,Thursday,18,False,Medium
Blinkit,2024-04-19,Snacks,Snacks,Bangalore,54,2,23,Upi,5.0,108,Slow,April,Friday,19,False,High
Blinkit,2024-04-20,Milk,Dairy,Delhi,62,4,16,Card,3.0,248,Medium,April,Saturday,20,True,Medium
Zepto,2024-04-21,Snacks,Snacks,Mumbai,61,5,8,Cod,3.0,305,Fast,April,Sunday,21,True,Medium
Blinkit,2024-04-22,Eggs,Poultry,Mumbai,234,2,19,Cod,2.0,468,Medium,April,Monday,22,False,Low
Blinkit,2024-04-23,Rice,Grains,Mumbai,61,3,22,Upi,3.0,183,Slow,April,Tuesday,23,False,Medium
Zepto,2024-04-24,Atta,Grains,Delhi,57,2,9,Upi,4.0,114,Fast,April,Wednesday,24,False,High
Zepto,2024-04-25,Coke,Beverages,Mumbai,84,5,13,Card,1.0,420,Fast,April,Thursday,25,False,Low
Zepto,2024-04-26,Paneer,Dairy,Mumbai,78,2,7,Upi,4.0,156,Fast,April,Friday,26,False,High
Blinkit,2024-04-27,Atta,Grains,Bangalore,117,4,18,Card,1.0,468,Medium,April,Saturday,27,True,Low
Zepto,2024-04-28,Paneer,Dairy,Mumbai,127,5,12,Card,5.0,635,Fast,April,Sunday,28,True,High
Zepto,2024-04-29,Juice,Beverages,Bangalore,67,3,7,Card,2.0,201,Fast,April,Monday,29,False,Low
Blinkit,2024-04-30,Milk,Dairy,Bangalore,69,3,21,Card,2.0,207,Slow,April,Tuesday,30,False,Low
Zepto,2024-05-01,Snacks,Snacks,Hyderabad,110,1,18,Card,3.0,110,Medium,May,Wednesday,1,False,Medium
Blinkit,2024-05-02,Bread,Bakery,Mumbai,213,5,21,Cod,4.0,1065,Slow,May,Thursday,2,False,High
Blinkit,2024-05-03,Coke,Beverages,Delhi,152,1,25,Card,1.0,152,Slow,May,Friday,3,False,Low
Zepto,2024-05-04,Milk,Dairy,Chennai,135,5,12,Upi,4.0,675,Fast,May,Saturday,4,True,High
Zepto,2024-05-05,Paneer,Dairy,Mumbai,192,5,8,Upi,1.0,960,Fast,May,Sunday,5,True,Low
Zepto,2024-05-06,Eggs,Poultry,Mumbai,63,1,13,Cod,5.0,63,Fast,May,Monday,6,False,High
Blinkit,2024-05-07,Eggs,Poultry,Delhi,166,2,14,Cod,1.0,332,Fast,May,Tuesday,7,False,Low
Zepto,2024-05-08,Bread,Bakery,Hyderabad,181,3,13,Card,5.0,543,Fast,May,Wednesday,8,False,High
Blinkit,2024-05-09,Atta,Grains,Delhi,60,3,24,Card,1.0,180,Slow,May,Thursday,9,False,Low
Blinkit,2024-05-10,Coke,Beverages,Hyderabad,119,3,17,Cod,2.0,357,Medium,May,Friday,10,False,Low
Zepto,2024-05-11,Rice,Grains,Delhi,224,5,20,Card,3.0,1120,Medium,May,Saturday,11,True,Medium
Blinkit,2024-05-12,Juice,Beverages,Bangalore,82,3,12,Card,1.0,246,Fast,May,Sunday,12,True,Low
Zepto,2024-05-13,Atta,Grains,Hyderabad,75,1,17,Cod,2.0,75,Medium,May,Monday,13,False,Low
Zepto,2024-05-14,Butter,Dairy,Chennai,87,2,9,Upi,2.0,174,Fast,May,Tuesday,14,False,Low
Blinkit,2024-05-15,Snacks,Snacks,Mumbai,118,1,17,Upi,1.0,118,Medium,May,Wednesday,15,False,Low
Blinkit,2024-05-16,Juice,Beverages,Hyderabad,199,2,11,Upi,2.0,398,Fast,May,Thursday,16,False,Low
Blinkit,2024-05-17,Eggs,Poultry,Hyderabad,131,2,12,Cod,3.0,262,Fast,May,Friday,17,False,Medium
Blinkit,2024-05-18,Bread,Bakery,Chennai,88,1,18,Upi,1.0,88,Medium,May,Saturday,18,True,Low
Blinkit,2024-05-19,Coke,Beverages,Chennai,209,4,15,Cod,3.0,836,Medium,May,Sunday,19,True,Medium
Zepto,2024-05-20,Atta,Grains,Hyderabad,223,1,20,Card,4.0,223,Medium,May,Monday,20,False,High
Zepto,2024-05-21,Bread,Bakery,Mumbai,164,2,17,Upi,3.0,328,Medium,May,Tuesday,21,False,Medium
Zepto,2024-05-22,Paneer,Dairy,Bangalore,109,2,14,Cod,3.0,218,Fast,May,Wednesday,22,False,Medium
Zepto,2024-05-23,Biscuits,Bakery,Mumbai,51,4,9,Card,1.0,204,Fast,May,Thursday,23,False,Low
Blinkit,2024-05-24,Rice,Grains,Hyderabad,208,1,12,Card,2.0,208,Fast,May,Friday,24,False,Low
Zepto,2024-05-25,Juice,Beverages,Chennai,146,3,9,Card,2.0,438,Fast,May,Saturday,25,True,Low
Blinkit,2024-05-26,Coke,Beverages,Bangalore,79,3,17,Card,5.0,237,Medium,May,Sunday,26,True,High
Blinkit,2024-05-27,Rice,Grains,Delhi,61,3,20,Card,5.0,183,Medium,May,Monday,27,False,High
Zepto,2024-05-28,Eggs,Poultry,Chennai,152,3,20,Upi,3.0,456,Medium,May,Tuesday,28,False,Medium
Zepto,2024-05-29,Rice,Grains,Delhi,185,2,12,Cod,2.0,370,Fast,May,Wednesday,29,False,Low
Zepto,2024-05-30,Butter,Dairy,Mumbai,172,2,11,Card,3.0,344,Fast,May,Thursday,30,False,Medium
